Both sexes,25 - 29 years,Clare,5630
Both sexes,25 - 29 years,Cork City,11453
Both sexes,25 - 29 years,Cork County,20990
Both sexes,25 - 29 years,Kerry,7114
Both sexes,25 - 29 years,Limerick City and County,11795
Both sexes,25 - 29 years,Tipperary,8106
Both sexes,25 - 29 years,Waterford City and County,6261
Both sexes,25 - 29 years,Galway City,7297
Both sexes,25 - 29 years,Galway County,8007
Both sexes,25 - 29 years,Leitrim,1433
Both sexes,25 - 29 years,Mayo,6165
Both sexes,25 - 29 years,Roscommon,3096
Both sexes,25 - 29 years,Sligo,3205
Both sexes,25 - 29 years,Cavan,3989
Both sexes,25 - 29 years,Donegal,8075
Both sexes,25 - 29 years,Monaghan,3467
Both sexes,30 - 34 years,Carlow,4136
Both sexes,30 - 34 years,Dublin City,58889
Both sexes,30 - 34 years,D�n Laoghaire-Rathdown,15740
Both sexes,30 - 34 years,Fingal,25525
Both sexes,30 - 34 years,South Dublin,23272
Both sexes,30 - 34 years,Kildare,17030
Both sexes,30 - 34 years,Kilkenny,6696
Both sexes,30 - 34 years,Laois,6679
Both sexes,30 - 34 years,Longford,2784
Both sexes,30 - 34 years,Louth,9256
Both sexes,30 - 34 years,Meath,14014
Both sexes,30 - 34 years,Offaly,5389
Both sexes,30 - 34 years,Westmeath,6466
Both sexes,30 - 34 years,Wexford,9784
Both sexes,30 - 34 years,Wicklow,9660
Both sexes,30 - 34 years,Clare,7451
Both sexes,30 - 34 years,Cork City,11132
Both sexes,30 - 34 years,Cork County,29269
Both sexes,30 - 34 years,Kerry,9722
Both sexes,30 - 34 years,Limerick City and County,14255
Both sexes,30 - 34 years,Tipperary,10375
Both sexes,30 - 34 years,Waterford City and County,7562
Both sexes,30 - 34 years,Galway City,7759
Both sexes,30 - 34 years,Galway County,11100
Both sexes,30 - 34 years,Leitrim,1984
Both sexes,30 - 34 years,Mayo,8111
Both sexes,30 - 34 years,Roscommon,4061
Both sexes,30 - 34 years,Sligo,4264
Both sexes,30 - 34 years,Cavan,5420
Both sexes,30 - 34 years,Donegal,9826
Both sexes,30 - 34 years,Monaghan,4364
Both sexes,35 - 39 years,Carlow,4498
Both sexes,35 - 39 years,Dublin City,49561
Both sexes,35 - 39 years,D�n Laoghaire-Rathdown,16787
Both sexes,35 - 39 years,Fingal,28983
Both sexes,35 - 39 years,South Dublin,25213
Both sexes,35 - 39 years,Kildare,19422
Both sexes,35 - 39 years,Kilkenny,7801
Both sexes,35 - 39 years,Laois,7205
Both sexes,35 - 39 years,Longford,3197
Both sexes,35 - 39 years,Louth,10247
Both sexes,35 - 39 years,Meath,16832
Both sexes,35 - 39 years,Offaly,5924
Both sexes,35 - 39 years,Westmeath,6967
Both sexes,35 - 39 years,Wexford,11327
Both sexes,35 - 39 years,Wicklow,11493
Both sexes,35 - 39 years,Clare,8879
Both sexes,35 - 39 years,Cork City,9259
Both sexes,35 - 39 years,Cork County,34886
Both sexes,35 - 39 years,Kerry,11025
Both sexes,35 - 39 years,Limerick City and County,15208
Both sexes,35 - 39 years,Tipperary,11809
Both sexes,35 - 39 years,Waterford City and County,9027
Both sexes,35 - 39 years,Galway City,7160
Both sexes,35 - 39 years,Galway County,14015
Both sexes,35 - 39 years,Leitrim,2334
Both sexes,35 - 39 years,Mayo,8862
Both sexes,35 - 39 years,Roscommon,4591
Both sexes,35 - 39 years,Sligo,4762
Both sexes,35 - 39 years,Cavan,5813
Both sexes,35 - 39 years,Donegal,11626
Both sexes,35 - 39 years,Monaghan,4708
Both sexes,40 - 44 years,Carlow,4297
Both sexes,40 - 44 years,Dublin City,38021
Both sexes,40 - 44 years,D�n Laoghaire-Rathdown,15209
Both sexes,40 - 44 years,Fingal,26029
Both sexes,40 - 44 years,South Dublin,20951
Both sexes,40 - 44 years,Kildare,18693
Both sexes,40 - 44 years,Kilkenny,7671
Both sexes,40 - 44 years,Laois,6365
Both sexes,40 - 44 years,Longford,2906
Both sexes,40 - 44 years,Louth,9988
